	Date	Temp	Rain	zipcode	count	Day	Hour	Weekday	Lat	Lon	Type
70	2014-05-01-06	54	0.03	11211.0	3	1	6	3	40.7154	-73.9445	uber
71	2014-05-01-06	54	0.03	11211.0	3	1	6	3	40.7154	-73.9445	uber
72	2014-05-01-06	54	0.03	11215.0	3	1	6	3	40.6634	-73.9894	uber
73	2014-05-01-06	54	0.03	11215.0	3	1	6	3	40.6634	-73.9894	uber
74	2014-05-01-06	54	0.03	11215.0	3	1	6	3	40.6634	-73.9894	uber
75	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
76	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
77	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
78	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
79	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
80	2014-05-01-06	55	0.02	10021.0	6	1	6	3	40.767958	-73.955865	yellow
81	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
82	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
83	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
84	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
85	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
86	2014-05-01-06	55	0.02	11211.0	6	1	6	3	40.7154	-73.9445	uber
87	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
88	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
89	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
90	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
91	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
92	2014-05-01-06	55	0.02	11215.0	6	1	6	3	40.6634	-73.9894	uber
93	2014-05-01-07	55	0	10018.0	4	1	7	3	40.752102	-73.989152	yellow
94	2014-05-01-07	55	0	10018.0	4	1	7	3	40.752102	-73.989152	yellow
95	2014-05-01-07	55	0	10018.0	4	1	7	3	40.754222	-73.995717	yellow
96	2014-05-01-07	55	0	10018.0	4	1	7	3	40.754222	-73.995717	yellow
97	2014-05-01-07	55	0	10128.0	2	1	7	3	40.779317	-73.947517	yellow
98	2014-05-01-07	55	0	10128.0	2	1	7	3	40.779317	-73.947517	yellow
99	2014-05-01-07	55	0	11103.0	2	1	7	3	40.767577	-73.911947	yellow
100	2014-05-01-07	55	0	11103.0	2	1	7	3	40.767577	-73.911947	yellow
101	2014-05-01-07	56	0.01	10018.0	4	1	7	3	40.752102	-73.989152	yellow
102	2014-05-01-07	56	0.01	10018.0	4	1	7	3	40.752102	-73.989152	yellow
103	2014-05-01-07	56	0.01	10018.0	4	1	7	3	40.754222	-73.995717	yellow
104	2014-05-01-07	56	0.01	10018.0	4	1	7	3	40.754222	-73.995717	yellow
105	2014-05-01-07	56	0.01	10128.0	2	1	7	3	40.779317	-73.947517	yellow
106	2014-05-01-07	56	0.01	10128.0	2	1	7	3	40.779317	-73.947517	yellow
107	2014-05-01-07	56	0.01	11103.0	2	1	7	3	40.767577	-73.911947	yellow
108	2014-05-01-07	56	0.01	11103.0	2	1	7	3	40.767577	-73.911947	yellow
109	2014-05-01-08	57	0	10021.0	2	1	8	3	40.769812	-73.96467	yellow
110	2014-05-01-08	57	0	10021.0	2	1	8	3	40.769812	-73.96467	yellow
111	2014-05-01-08	57	0	10022.0	2	1	8	3	40.760967	-73.967077	yellow
112	2014-05-01-08	57	0	10022.0	2	1	8	3	40.760967	-73.967077	yellow
113	2014-05-01-08	57	0	10025.0	2	1	8	3	40.801367	-73.96879	yellow
114	2014-05-01-08	57	0	10025.0	2	1	8	3	40.801367	-73.96879	yellow
115	2014-05-01-08	57	0	10028.0	2	1	8	3	40.7751	-73.9551	uber
116	2014-05-01-08	57	0	10028.0	2	1	8	3	40.7751	-73.9551	uber
117	2014-05-01-08	57	0	10034.0	2	1	8	3	40.7765	-73.9821	uber
118	2014-05-01-08	57	0	10034.0	2	1	8	3	40.7765	-73.9821	uber
119	2014-05-01-08	57	0	10036.0	4	1	8	3	40.7598	-73.9872	uber
120	2014-05-01-08	57	0	10036.0	4	1	8	3	40.7598	-73.9872	uber
121	2014-05-01-08	57	0	10036.0	4	1	8	3	40.7628	-73.995	uber
122	2014-05-01-08	57	0	10036.0	4	1	8	3	40.7628	-73.995	uber
123	2014-05-01-08	57	0.01	10021.0	2	1	8	3	40.769812	-73.96467	yellow
124	2014-05-01-08	57	0.01	10021.0	2	1	8	3	40.769812	-73.96467	yellow
125	2014-05-01-08	57	0.01	10022.0	2	1	8	3	40.760967	-73.967077	yellow
126	2014-05-01-08	57	0.01	10022.0	2	1	8	3	40.760967	-73.967077	yellow
127	2014-05-01-08	57	0.01	10025.0	2	1	8	3	40.801367	-73.96879	yellow
128	2014-05-01-08	57	0.01	10025.0	2	1	8	3	40.801367	-73.96879	yellow
129	2014-05-01-08	57	0.01	10028.0	2	1	8	3	40.7751	-73.9551	uber
130	2014-05-01-08	57	0.01	10028.0	2	1	8	3	40.7751	-73.9551	uber
131	2014-05-01-08	57	0.01	10034.0	2	1	8	3	40.7765	-73.9821	uber
132	2014-05-01-08	57	0.01	10034.0	2	1	8	3	40.7765	-73.9821	uber
133	2014-05-01-08	57	0.01	10036.0	4	1	8	3	40.7598	-73.9872	uber
134	2014-05-01-08	57	0.01	10036.0	4	1	8	3	40.7598	-73.9872	uber
135	2014-05-01-08	57	0.01	10036.0	4	1	8	3	40.7628	-73.995	uber
136	2014-05-01-08	57	0.01	10036.0	4	1	8	3	40.7628	-73.995	uber
137	2014-05-01-09	57	0	10001.0	2	1	9	3	40.746787	-73.997855	yellow
138	2014-05-01-09	57	0	10001.0	2	1	9	3	40.746787	-73.997855	yellow
139	2014-05-01-09	57	0	10016.0	2	1	9	3	40.751397	-73.980835	yellow
140	2014-05-01-09	57	0	10016.0	2	1	9	3	40.751397	-73.980835	yellow
141	2014-05-01-09	57	0	10022.0	4	1	9	3	40.754872	-73.96639	yellow
142	2014-05-01-09	57	0	10022.0	4	1	9	3	40.754872	-73.96639	yellow
143	2014-05-01-09	57	0	10022.0	4	1	9	3	40.756787	-73.971923	yellow
144	2014-05-01-09	57	0	10022.0	4	1	9	3	40.756787	-73.971923	yellow
145	2014-05-01-09	57	0	10023.0	4	1	9	3	40.775215	-73.976625	yellow
146	2014-05-01-09	57	0	10023.0	4	1	9	3	40.775215	-73.976625	yellow
147	2014-05-01-09	57	0	10023.0	4	1	9	3	40.775999999999996	-73.9815	uber
148	2014-05-01-09	57	0	10023.0	4	1	9	3	40.775999999999996	-73.9815	uber
149	2014-05-01-09	57	0	10028.0	4	1	9	3	40.778172	-73.958712	yellow
150	2014-05-01-09	57	0	10028.0	4	1	9	3	40.778172	-73.958712	yellow
151	2014-05-01-09	57	0	10028.0	4	1	9	3	40.7781	-73.9589	uber
152	2014-05-01-09	57	0	10028.0	4	1	9	3	40.7781	-73.9589	uber
153	2014-05-01-09	58	0	10001.0	2	1	9	3	40.746787	-73.997855	yellow
154	2014-05-01-09	58	0	10001.0	2	1	9	3	40.746787	-73.997855	yellow
155	2014-05-01-09	58	0	10016.0	2	1	9	3	40.751397	-73.980835	yellow
156	2014-05-01-09	58	0	10016.0	2	1	9	3	40.751397	-73.980835	yellow
157	2014-05-01-09	58	0	10022.0	4	1	9	3	40.754872	-73.96639	yellow
158	2014-05-01-09	58	0	10022.0	4	1	9	3	40.754872	-73.96639	yellow
159	2014-05-01-09	58	0	10022.0	4	1	9	3	40.756787	-73.971923	yellow
160	2014-05-01-09	58	0	10022.0	4	1	9	3	40.756787	-73.971923	yellow
161	2014-05-01-09	58	0	10023.0	4	1	9	3	40.775215	-73.976625	yellow
162	2014-05-01-09	58	0	10023.0	4	1	9	3	40.775215	-73.976625	yellow
163	2014-05-01-09	58	0	10023.0	4	1	9	3	40.775999999999996	-73.9815	uber
164	2014-05-01-09	58	0	10023.0	4	1	9	3	40.775999999999996	-73.9815	uber
165	2014-05-01-09	58	0	10028.0	4	1	9	3	40.778172	-73.958712	yellow
166	2014-05-01-09	58	0	10028.0	4	1	9	3	40.778172	-73.958712	yellow
167	2014-05-01-09	58	0	10028.0	4	1	9	3	40.7781	-73.9589	uber
168	2014-05-01-09	58	0	10028.0	4	1	9	3	40.7781	-73.9589	uber
169	2014-05-01-10	58	0	10023.0	1	1	10	3	40.769362	-73.98173	yellow
170	2014-05-01-10	58	0	10025.0	1	1	10	3	40.806752	-73.965067	yellow
171	2014-05-01-11	58	0	10013.0	1	1	11	3	40.72681	-74.008967	yellow
172	2014-05-01-11	58	0	10021.0	1	1	11	3	40.765397	-73.955202	yellow
173	2014-05-01-12	61	0	10010.0	1	1	12	3	40.743812	-73.991095	yellow
174	2014-05-01-12	61	0	11434.0	1	1	12	3	40.644622	-73.78239	yellow
175	2014-05-01-13	61	0	10022.0	2	1	13	3	40.756997	-73.971305	yellow
176	2014-05-01-13	61	0	10022.0	2	1	13	3	40.756997	-73.971305	yellow
177	2014-05-01-13	62	0	10022.0	2	1	13	3	40.756997	-73.971305	yellow
178	2014-05-01-13	62	0	10022.0	2	1	13	3	40.756997	-73.971305	yellow
179	2014-05-01-14	62	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
180	2014-05-01-14	62	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
181	2014-05-01-14	62	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
182	2014-05-01-14	62	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
183	2014-05-01-14	62	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
184	2014-05-01-14	62	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
185	2014-05-01-14	62	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
186	2014-05-01-14	62	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
187	2014-05-01-14	62	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
188	2014-05-01-14	62	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
189	2014-05-01-14	62	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
190	2014-05-01-14	62	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
191	2014-05-01-14	62	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
192	2014-05-01-14	62	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
193	2014-05-01-14	62	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
194	2014-05-01-14	62	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
195	2014-05-01-14	62	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
196	2014-05-01-14	62	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
197	2014-05-01-14	62	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
198	2014-05-01-14	62	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
199	2014-05-01-14	62	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
200	2014-05-01-14	62	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
201	2014-05-01-14	62	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
202	2014-05-01-14	62	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
203	2014-05-01-14	62	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
204	2014-05-01-14	62	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
205	2014-05-01-14	62	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
206	2014-05-01-14	62	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
207	2014-05-01-14	62	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
208	2014-05-01-14	62	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
209	2014-05-01-14	62	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
210	2014-05-01-14	62	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
211	2014-05-01-14	64	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
212	2014-05-01-14	64	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
213	2014-05-01-14	64	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
214	2014-05-01-14	64	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
215	2014-05-01-14	64	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
216	2014-05-01-14	64	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
217	2014-05-01-14	64	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
218	2014-05-01-14	64	0	10022.0	8	1	14	3	40.7585	-73.9732	uber
219	2014-05-01-14	64	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
220	2014-05-01-14	64	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
221	2014-05-01-14	64	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
222	2014-05-01-14	64	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
223	2014-05-01-14	64	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
224	2014-05-01-14	64	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
225	2014-05-01-14	64	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
226	2014-05-01-14	64	0	10035.0	8	1	14	3	40.76571	-73.960903	yellow
227	2014-05-01-14	64	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
228	2014-05-01-14	64	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
229	2014-05-01-14	64	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
230	2014-05-01-14	64	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
231	2014-05-01-14	64	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
232	2014-05-01-14	64	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
233	2014-05-01-14	64	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
234	2014-05-01-14	64	0	10036.0	8	1	14	3	40.762887	-73.993413	yellow
235	2014-05-01-14	64	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
236	2014-05-01-14	64	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
237	2014-05-01-14	64	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
238	2014-05-01-14	64	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
239	2014-05-01-14	64	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
240	2014-05-01-14	64	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
241	2014-05-01-14	64	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
242	2014-05-01-14	64	0	11040.0	8	1	14	3	40.7535	-73.7081	uber
243	2014-05-01-15	68	0	10009.0	1	1	15	3	40.7271	-73.9856	uber
244	2014-05-01-15	68	0	10013.0	1	1	15	3	40.7233	-74.0084	uber
245	2014-05-01-15	68	0	10018.0	1	1	15	3	40.753087	-73.982327	yellow
246	2014-05-01-16	71	0	10011.0	2	1	16	3	40.739000000000004	-74.0003	uber
247	2014-05-01-16	71	0	10011.0	2	1	16	3	40.7374	-73.997	uber
248	2014-05-01-16	71	0	10016.0	1	1	16	3	40.7502	-73.9794	uber
249	2014-05-01-16	71	0	10017.0	1	1	16	3	40.753485	-73.977692	yellow
250	2014-05-01-16	71	0	10018.0	1	1	16	3	40.753	-73.9837	uber
251	2014-05-01-16	71	0	10035.0	1	1	16	3	40.775302	-73.965012	yellow
252	2014-05-01-16	71	0	10036.0	1	1	16	3	40.758012	-73.98183	yellow
253	2014-05-01-16	71	0	11368.0	1	1	16	3	40.7684	-73.8624	uber
254	2014-05-01-17	73	0	10003.0	1	1	17	3	40.7315	-73.9903	uber
255	2014-05-01-17	73	0	10014.0	1	1	17	3	40.7396	-74.0026	uber
256	2014-05-01-17	73	0	10016.0	2	1	17	3	40.763477	-73.981987	yellow
257	2014-05-01-17	73	0	10016.0	2	1	17	3	40.7445	-73.9834	uber
258	2014-05-01-17	73	0	10019.0	1	1	17	3	40.7424	-73.9932	uber
259	2014-05-01-17	73	0	10022.0	1	1	17	3	40.7624	-73.9703	uber
260	2014-05-01-18	76	0	10010.0	2	1	18	3	40.743	-73.9872	uber
261	2014-05-01-18	76	0	10010.0	2	1	18	3	40.743	-73.9872	uber
262	2014-05-01-18	76	0	10011.0	1	1	18	3	40.7395	-73.9941	uber
263	2014-05-01-18	76	0	10013.0	1	1	18	3	40.7245	-74.009	uber
264	2014-05-01-18	76	0	10019.0	1	1	18	3	40.7628	-73.9784	uber
265	2014-05-01-18	76	0	10035.0	1	1	18	3	40.741999	-73.989399	yellow
266	2014-05-01-18	76	0	10037.0	1	1	18	3	40.7578	-73.9757	uber
267	2014-05-01-18	76	0	10038.0	1	1	18	3	40.7112	-74.0053	uber
268	2014-05-01-18	76	0	10128.0	1	1	18	3	40.78111	-73.946402	yellow
269	2014-05-01-19	77	0	10014.0	1	1	19	3	40.7394	-74.0077	uber
270	2014-05-01-19	77	0	10038.0	1	1	19	3	40.708116	-74.006128	yellow
271	2014-05-01-19	77	0	10069.0	1	1	19	3	40.774855	-73.988603	yellow
272	2014-05-01-19	77	0	11434.0	1	1	19	3	40.645466	-73.78879	yellow
273	2014-05-01-20	76	0	10016.0	2	1	20	3	40.740777	-73.981587	yellow
274	2014-05-01-20	76	0	10016.0	2	1	20	3	40.7494	-73.9828	uber
275	2014-05-01-21	77	0	10021.0	1	1	21	3	40.771355	-73.963955	yellow
